Frequency,Power
0.0,0.17382395
0.32526921374834045,0.097043276
0.6505384274966809,0.15689662
0.9758076412450214,0.10746907
1.3010768549933618,0.17137302
1.6263460687417022,0.09846479
1.9516152824900428,0.2847321
2.276884496238383,0.060035985
2.6021537099867236,0.17986295
2.927422923735064,0.040734135
3.2526921374834044,0.18547767
3.5779613512317447,0.066225976
3.9032305649800856,0.153493
4.228499778728426,0.17039445
4.553768992476766,0.1401452
4.879038206225107,0.09954038
5.204307419973447,0.048382677
5.5295766337217875,0.09659536
5.854845847470128,0.12648158
6.180115061218468,0.15724885
6.505384274966809,0.28532484
6.830653488715149,0.07816626
7.1559227024634895,0.100852855
7.48119191621183,0.06018669
7.806461129960171,0.14537138
8.131730343708512,0.10045447
8.456999557456852,0.12905808
8.782268771205192,0.16471758
9.107537984953533,0.045167897
9.432807198701873,0.16943075
9.758076412450214,0.06804987
10.083345626198554,0.15336488
10.408614839946894,0.116077445
10.733884053695235,0.16251977
11.059153267443575,0.12759508
11.384422481191915,0.11340832
11.709691694940256,0.07216412
12.034960908688596,0.15893173
12.360230122436937,0.10917639
12.685499336185277,0.1140071
13.010768549933617,0.14629902
13.336037763681958,0.064146936
13.661306977430298,0.0617364
13.986576191178639,0.20949805
14.311845404926979,0.23929638
14.63711461867532,0.118453175
14.96238383242366,0.14642483
15.287653046172,0.16456124
15.612922259920342,0.31634006
15.938191473668683,0.18103576
16.263460687417023,0.09212332
16.58872990116536,0.15930027
16.913999114913704,0.10482305
17.239268328662043,0.111747995
17.564537542410385,0.11621979
17.889806756158723,0.17751203
18.215075969907065,0.019058347
18.540345183655404,0.11649648
18.865614397403746,0.16667354
19.190883611152085,0.15326408
19.516152824900427,0.039665814
19.841422038648766,0.075310595
20.166691252397108,0.06068129
20.491960466145446,0.16066948
20.81722967989379,0.123431265
21.14249889364213,0.32381257
21.46776810739047,0.022429984
21.79303732113881,0.09651502
22.11830653488715,0.13177845
22.443575748635492,0.27085757
22.76884496238383,0.11687268
23.094114176132173,0.31389087
23.41938338988051,0.20003495
23.744652603628854,0.11439511
24.069921817377192,0.17897017
24.395191031125535,0.22983558
24.720460244873873,0.18436627
25.045729458622215,0.17512754
25.370998672370554,0.06096043
25.696267886118896,0.35468474
26.021537099867235,0.13069506
26.346806313615577,0.23307624
26.672075527363916,0.03494819
26.997344741112258,0.16783118
27.322613954860596,0.24021046
27.64788316860894,0.22790076
27.973152382357277,0.27964252
28.29842159610562,0.21314946
28.623690809853958,0.80332613
28.9489600236023,0.18416142
29.27422923735064,0.49049258
29.59949845109898,0.3924955
29.92476766484732,0.52226275
30.25003687859566,0.61179817
30.575306092344,0.41225395
30.900575306092342,0.21560444
31.225844519840685,0.29415667
31.551113733589023,0.090854675
31.876382947337365,0.17253529
32.201652161085704,0.2909503
32.526921374834046,0.22234398
32.85219058858239,0.24613489
33.17745980233072,0.30498514
33.502729016079066,0.18859385
33.82799822982741,0.038562074
34.15326744357575,0.11534924
34.478536657324085,0.17392692
34.80380587107243,0.5445847
35.12907508482077,0.3097793
35.45434429856911,0.2675556
35.77961351231745,0.058409173
36.10488272606579,0.21629588
36.43015193981413,0.12919286
36.75542115356247,0.26618397
37.08069036731081,0.14686555
37.40595958105915,0.18979695
37.73122879480749,0.18560004
38.056498008555835,0.049677506
38.38176722230417,0.13583896
38.70703643605251,0.09433305
39.032305649800854,0.22039634
39.357574863549196,0.18279949
39.68284407729753,0.17285603
40.00811329104587,0.31171134
40.333382504794216,0.11926733
40.65865171854256,0.24918611
40.98392093229089,0.26584536
41.309190146039235,0.23887156
41.63445935978758,0.2079054
41.95972857353592,0.13299829
42.28499778728426,0.19896641
42.6102670010326,0.057659794
42.93553621478094,0.03505228
43.26080542852928,0.25025654
43.58607464227762,0.059022814
43.91134385602596,0.1253867
44.2366130697743,0.070799254
44.56188228352264,0.10390639
44.887151497270985,0.063729145
45.21242071101932,0.12416902
45.53768992476766,0.28431112
45.862959138516004,0.27835077
46.188228352264346,0.4189584
46.51349756601268,0.2599604
46.83876677976102,0.29186174
47.164035993509366,0.55921835
47.48930520725771,0.17162147
47.81457442100604,0.2063473
48.139843634754385,0.34666526
48.46511284850273,0.58626425
48.79038206225107,0.14108887
49.115651275999404,0.9370701
49.44092048974775,0.91155845
49.76618970349609,0.4965497
50.09145891724443,0.55009013
50.416728130992766,0.46485808
50.74199734474111,0.21881053
51.06726655848945,0.6856374
51.39253577223779,0.054903697
51.71780498598613,0.29687637
52.04307419973447,0.36398053
52.36834341348281,0.43118036
52.693612627231154,0.6038791
53.018881840979496,1.9247999
53.34415105472783,1.2344106
53.66942026847617,2.2369165
53.994689482224516,2.2846408
54.31995869597286,0.5201647
54.64522790972119,0.7880074
54.970497123469535,0.6960803
55.29576633721788,0.37196702
55.62103555096622,0.22816187
55.946304764714554,0.127184
56.2715739784629,0.39261997
56.59684319221124,0.41137764
